Vehicle_Line,Derivative,Trim,Model_Year,Total_Price_GBP,Interior_Colour,Exterior_Colour,Feature_Codes
Discovery,P300,SE,2020.5,52810,Dove,Eiger Grey,"['SF002', 'IT001', 'IT010', 'RF002', 'SF009', 'CL009', 'SF020', 'CV010']"
Discovery Sport,D200,HSE,2023.5,60676,Dove,Eiger Grey,"['IT004', 'CV006', 'SF022', 'SF012', 'CL012', 'DA002', 'WS009', 'DA001', 'CL010', 'IT002', 'RF002']"
Discovery Sport,P250,S,2025,38036,Glacier White,Sunset Gold Satin,"['CL006', 'WS001', 'CV002', 'SF006', 'DA001', 'SF005', 'SF004']"
Range Rover Evoque,P200,Dynamic HSE,2023,55590,Ebony,Balmoral Blue,"['SF011', 'IL002', 'RF003', 'IT004', 'DA003', 'WS009', 'CL001', 'WS001', 'SF004', 'SF014', 'SF001', 'SF018']"
Range Rover Sport,P460e PHEV,Dynamic HSE,2023.5,145010,Glacier White,Varesine Blue,"['IL005', 'CV004', 'CL002', 'SF011', 'LT007', 'EP002', 'IT001', 'RF003', 'SF001', 'WS008', 'SF018', 'WS003', 'LT001']"
Range Rover Sport,P440,Autobiography,2024,179420,Brogue,Santorini Black,"['CP006', 'CP001', 'IT005', 'IT012', 'RF004', 'CP003', 'SF015', 'IL009', 'CV014', 'LT002', 'WS006', 'LT017']"
Range Rover Evoque,D200,S,2023,35062,Reims Blue,Rossello Red,"['IT010', 'LT005', 'LT001', 'CL008', 'WS001', 'SF003', 'IT001', 'SF008']"
Defender,P400 90,HSE,2023.5,83773,Caraway,Sunset Gold Satin,"['SF022', 'IT004', 'DA003', 'IL002', 'IT005', 'EP002', 'WS010', 'DA002', 'LT003', 'SF012']"
Range Rover Evoque,D180,Autobiography,2023.5,71242,Cirrus,Champagne Gold,"['CL005', 'EP010', 'CL002', 'SS014', 'CS013', 'AS006', 'LT008', 'CP001', 'SS009', 'DA010', 'IL006', 'CL010', 'CV007']"
Range Rover,D350 LWB,Autobiography,2024.5,227885,Navy,Aruba,"['LT014', 'EP004', 'CL010', 'EP005', 'SF025', 'CV003', 'CV020', 'LT007', 'EP014', 'CP001', 'CL018', 'IL002', 'LT009', 'CP004', 'IT020', 'DA015', 'WS009']"
Range Rover Velar,D240,Autobiography,2020,96350,Navy,Cosmos Black,"['RF003', 'SF019', 'IT005', 'CP010', 'DA017', 'CS002', 'CV006', 'AS004', 'AS009', 'CP006', 'IT003', 'LT011', 'CS013', 'CP001', 'WS014']"
Defender,D300 110,SE,2022,58713,Acorn,Hakuba Silver,"['WS001', 'IT001', 'EP002', 'SF007', 'SF009', 'DA005', 'SF002', 'CV010', 'CV004', 'DA001', 'SF003']"
Range Rover Velar,D240,Autobiography,2025,116942,Copper,Cosmos Black,"['CP006', 'WS011', 'CS011', 'IT002', 'CL015', 'EP014', 'DA001', 'IT006', 'LT003', 'IT005', 'EP002', 'DA004']"
Range Rover Velar,D240,S,2024.5,59235,Flame Red,Kaikoura Stone,"['SF020', 'LT001', 'CV001', 'IT007', 'EP001', 'IT009', 'WS001', 'SF022']"
Range Rover,D350 LWB,SV,2023,252410,Espresso,Causeway Grey,"['WS011', 'IT009', 'IT005', 'SF003', 'CL010', 'CL007', 'SS012', 'CP001', 'RF004', 'WS009', 'CL016', 'CV017', 'AS005', 'CL018', 'CL012', 'SF010']"
Range Rover Sport,P530,Dynamic S,2023.5,128810,Siena Tan,Kaikoura Stone,"['IT003', 'EP007', 'DA015', 'IT006', 'AS003', 'CS014', 'IT012', 'IT018', 'CS013', 'WS018', 'CP001', 'LT018', 'CL013', 'EP014']"
Range Rover,D350 SWB,Autobiography,2022,177362,Copper,Gondwana Stone,"['WS018', 'CL006', 'AS002', 'RF003', 'EP004', 'WS005', 'IL007', 'IT020', 'CP003', 'DA015', 'CV002', 'CV007', 'CL014', 'IL006', 'AS008']"
Range Rover Evoque,D200,Dynamic HSE,2021.5,54286,Espresso,Hakuba Silver,"['CV005', 'WS003', 'EP003', 'CL003', 'SF014', 'SF016', 'SF008', 'IT008', 'LT002', 'CL001', 'IT005', 'CL009', 'DA005', 'SF003', 'CV007']"
Range Rover Evoque,P300,Dynamic SE,2023,40250,Nimbus,Cosmos Black,"['CV001', 'SF009', 'SF004', 'SF003', 'SF020', 'SF007', 'LT006', 'WS001', 'SF018']"
Discovery,P300,HSE,2022.5,85390,Cirrus,Champagne Gold,"['IL005', 'RF002', 'IT008', 'WS003', 'CL010', 'DA007', 'IL002', 'CL001', 'SF020', 'IL001', 'IT005']"
Range Rover Sport,P635 SVR,Dynamic HSE,2023.5,294101,Brogue,Pangea Green,"['IT005', 'CV005', 'SF001', 'IT011', 'IL002', 'DA006', 'SF006', 'CV007', 'SF005', 'LT002', 'LT006', 'RF002']"
F-Pace,D200,R-Dynamic SE,2020.5,45570,Espresso,Santorini Black,"['WS001', 'DA001', 'SF008', 'LT006', 'IT001', 'CL010', 'LT001', 'SF004', 'SF011', 'CL001', 'SF022', 'SF018']"
F-Pace,P400,SVR,2025,135780,Moonbeam,Firenze Red,"['WS004', 'CP002', 'RF004', 'IL006', 'CV004', 'DA006', 'DA010', 'IT018', 'EP013', 'LT004', 'CV006', 'CV009', 'CS013']"
Range Rover Sport,D300,SVR,2025,219764,Dove,Bright White,"['AS006', 'WS004', 'IL009', 'CP006', 'WS018', 'SS004', 'IT020', 'CP003', 'CP002', 'LT014', 'IL002', 'LT015', 'CL009', 'IL010', 'DA014', 'SF022', 'SF001']"
Range Rover,D350 LWB,SV,2024,284133,Siena Tan,Ostuni Pearl White,"['CP002', 'IL006', 'CL004', 'DA018', 'CP009', 'SF015', 'IL010', 'LT007', 'IL012', 'CS012', 'RF003', 'SS008', 'LT011', 'IT018', 'CL002', 'EP003', 'CL007', 'IL002']"
Discovery Sport,P250,HSE,2023.5,61088,Reims Blue,Aruba,"['IL002', 'IL001', 'RF002', 'CL009', 'CV009', 'WS009', 'IT008', 'EP002', 'CV006']"
Range Rover,P530 LWB,SV,2022,258238,Dove,Varesine Blue,"['CS009', 'AS007', 'IT014', 'RF003', 'AS006', 'DA013', 'SS008', 'CP005', 'CS003', 'DA002', 'DA009', 'DA003']"
Defender,P400 90,X-Dynamic,2024.5,91437,Copper,Cosmos Black,"['DA011', 'DA002', 'IL001', 'IT021', 'IL003', 'WS017', 'CL013', 'SS015', 'CL016', 'IL005', 'LT001', 'RF002', 'IT010', 'IL007', 'IL009']"
Defender,P400 90,X-Dynamic,2024,85831,Dove,Gondwana Stone,"['CP004', 'DA008', 'CP001', 'IT011', 'CV018', 'CV003', 'CP006', 'EP013', 'DA012', 'EP009', 'CS014', 'CL009', 'RF002', 'DA020', 'IL005']"
Range Rover Evoque,P200,Dynamic HSE,2021,52624,Nimbus,Sedona Red,"['CV009', 'CL008', 'SF012', 'WS009', 'DA001', 'LT003', 'DA003', 'SF006', 'IL005', 'SF004', 'CV007', 'RF003', 'WS002']"
Range Rover Velar,P300,Dynamic SE,2025,74190,Ivory,Sunset Gold Satin,"['SF022', 'IT001', 'CV002', 'SF008', 'SF002', 'CV001', 'SF005', 'IT009', 'DA001']"
Range Rover Evoque,P250,Dynamic HSE,2024.5,57460,Nimbus,Eiger Grey,"['WS002', 'DA001', 'IT001', 'EP003', 'IT008', 'DA006', 'WS009', 'CV006', 'EP001', 'SF002']"
Range Rover,P615 SV,Autobiography,2025,338416,Vintage Tan,Firenze Red,"['AS009', 'LT002', 'DA005', 'CL011', 'CV003', 'WS019', 'LT016', 'CV019', 'IT003', 'CL012', 'SS012', 'IL012', 'CL018', 'WS013', 'IT006']"
Discovery,P360,HSE,2024,97823,Vintage Tan,Pangea Green,"['WS003', 'IL005', 'DA001', 'IT004', 'EP001', 'SF005', 'IT002', 'RF002', 'CL012', 'WS009', 'EP002', 'IL002', 'CL002']"
Defender,D300 130,X-Dynamic,2023.5,103950,Vintage Tan,Gondwana Stone,"['SS012', 'IL010', 'RF004', 'CV005', 'DA013', 'DA018', 'WS020', 'DA002', 'CV004', 'LT016', 'DA005', 'EP005', 'CP002', 'LT003', 'DA007']"
Range Rover Velar,P400,S,2023,58655,Acorn,Portofino Blue,"['WS001', 'CV001', 'LT001', 'IT010', 'SF003', 'SF010']"
Discovery Sport,D200,HSE Luxury,2025,71004,Robusta,Sedona Red,"['DA003', 'CV009', 'CL002', 'IT004', 'CL011', 'IL002', 'LT007', 'CL008', 'CV007', 'EP003', 'IL001', 'CV001']"
Defender,P500 110,S,2024.5,61958,Siena Tan,Carpathian Grey,"['SF022', 'SF007', 'DA001', 'CL006', 'SF020']"
Range Rover Velar,P400,S,2020,46425,Reims Blue,Carpathian Grey,"['SF022', 'SF002', 'IT001', 'DA001', 'CV001', 'SF010']"
Defender,D300 130,SE,2020,56124,Nimbus,Indus Silver,"['CV001', 'SF003', 'CV011', 'SF002', 'WS010', 'DA005', 'IT001', 'SF007', 'EP001', 'WS001', 'WS006', 'CL010']"
Range Rover Sport,P460e PHEV,Dynamic HSE,2022.5,145990,Reims Blue,Balmoral Blue,"['IT005', 'CV010', 'DA003', 'EP003', 'IT004', 'RF002', 'LT003', 'IL005', 'CL012', 'CV007', 'DA002', 'IT003', 'SF010', 'IT011']"
Range Rover Velar,P300,Dynamic SE,2024.5,74750,Acorn,Eiger Grey,"['LT001', 'SF002', 'CV002', 'WS008', 'SF022', 'DA001', 'SF010', 'SF008', 'CV001']"
Discovery Sport,P200,SE,2025,44074,Ebony,Sedona Red,"['SF004', 'SF002', 'SF001', 'CV010', 'LT001', 'CL009', 'SF007', 'SF008']"
Range Rover Velar,D300,S,2021,49491,Ebony,Bright White,"['IT009', 'SF001', 'SF005', 'EP001', 'SF008']"
F-Pace,P300,R-Dynamic HSE,2023.5,79340,Cirrus,Eiger Grey,"['CL012', 'IT005', 'IT008', 'LT006', 'CL011', 'CL009', 'CL002', 'CV002', 'SF001', 'SF016', 'CV009']"
Range Rover Evoque,P200,Dynamic SE,2022.5,37176,Nimbus,Fuji White,"['SF006', 'IT001', 'CL010', 'WS001', 'CL001', 'DA005', 'SF005', 'IT009', 'SF003']"
Range Rover Evoque,P200,Dynamic HSE,2025,63436,Eclipse,Lantau Bronze,"['CV006', 'DA002', 'IT003', 'WS003', 'EP001', 'WS008', 'CL008', 'CL003', 'DA003', 'SF001', 'CV007', 'LT001', 'IT001']"
Defender,D300 110,HSE,2024.5,93219,Espresso,Bright White,"['CV010', 'RF002', 'EP007', 'CL010', 'CL001', 'IL005', 'IT011', 'SF016', 'LT003', 'WS006', 'DA005', 'SF008', 'DA002', 'CV002']"
Range Rover Velar,P300,Autobiography,2024.5,117130,Eclipse,Rossello Red,"['IL010', 'IT003', 'LT019', 'WS014', 'CP001', 'CP004', 'CV014', 'SF011', 'CL016', 'DA020', 'AS001', 'SF013', 'LT015', 'CS003', 'IT006']"
Discovery Sport,D200,SE,2023,38108,Brogue,Lantau Bronze,"['SF006', 'SF020', 'SF014', 'SF004', 'CL008', 'SF008', 'SF010', 'CL010', 'SF018']"
Range Rover Velar,P400,Autobiography,2022.5,123722,Perlino,Cosmos Black,"['CP006', 'CL016', 'IL002', 'IL006', 'IL005', 'CS012', 'IT003', 'WS018', 'AS004', 'RF005', 'CP010', 'CL015', 'CS013', 'IT006', 'EP005', 'LT002', 'RF002']"
Range Rover Velar,P250,Dynamic SE,2022,59248,Caraway,Santorini Black,"['SF001', 'SF022', 'CV010', 'IT009', 'SF008', 'LT006', 'IT010', 'SF018', 'WS001', 'SF006', 'LT001', 'SF002']"
Range Rover Sport,P510,Dynamic S,2020.5,105144,Reims Blue,Portofino Blue,"['IL005', 'DA020', 'AS006', 'EP013', 'IL009', 'DA009', 'DA003', 'SF025', 'CP006', 'EP005', 'CV020', 'IT014', 'RF002', 'CS011', 'CP009', 'EP014']"
Range Rover Velar,P300,Autobiography,2024.5,113000,Glacier White,Portofino Blue,"['IT005', 'SF023', 'SF009', 'LT002', 'CL004', 'IT003', 'EP005', 'CP003', 'IT014', 'SF018', 'IL008', 'DA002', 'CP010']"
Defender,P400 90,S,2024.5,50974,Caraway,Narvik Black,"['SF002', 'IT001', 'IT009', 'IT007', 'CV011', 'SF009', 'CV001']"
Range Rover Evoque,P200,Dynamic SE,2025,47054,Espresso,Lantau Bronze,"['LT006', 'IT005', 'SF009', 'EP001', 'CV001', 'IT010', 'SF002', 'SF004', 'IT001', 'SF018', 'SF020', 'IL001']"
Discovery,P360,S,2025,61982,Cirrus,Silicon Silver,"['SF022', 'SF009', 'SF002', 'DA005', 'SF006']"
Range Rover,P550e PHEV SWB,HSE,2023.5,176325,Perlino,Ostuni Pearl White,"['WS003', 'CV005', 'IL002', 'CL012', 'SF007', 'RF003', 'IL005', 'CL001', 'SF003', 'CL008', 'CL010', 'IT005', 'LT002']"
Discovery,D300,SE,2024,67434,Cirrus,Firenze Red,"['DA001', 'IT010', 'EP001', 'WS001', 'LT001', 'SF007', 'SF003', 'CV004', 'SF005', 'IT009']"
F-Pace,P250,R-Dynamic S,2025,79402,Perlino,Champagne Gold,"['SS003', 'WS009', 'LT017', 'CV011', 'CL006', 'EP007', 'IT023', 'RF001', 'CV006', 'IT006', 'DA002', 'CL004', 'CP005', 'CS007', 'EP014', 'DA013', 'CP010']"
Range Rover Sport,P550e PHEV,Dynamic S,2024.5,130542,Eclipse,Kaikoura Stone,"['AS005', 'LT008', 'RF003', 'SS012', 'DA002', 'EP013', 'SF015', 'SF018', 'IL009', 'DA020', 'SS008', 'IL003', 'SF016']"
Range Rover Evoque,D200,S,2022,30944,Perlino,Kaikoura Stone,"['SF007', 'SF010', 'SF006', 'EP001', 'SF004']"
F-Pace,D240,R-Dynamic S,2023,73660,Eclipse,Corris Grey,"['IT015', 'AS007', 'WS015', 'CS005', 'LT009', 'RF003', 'CP006', 'IL005', 'CL013', 'CP001', 'SS003', 'EP004', 'EP005', 'IT020', 'CP005']"
Defender,D300 110,S,2021,43134,Titan,Hakuba Silver,"['SF008', 'SF020', 'IT009', 'SF003', 'DA005', 'EP001', 'SF009', 'WS001']"
F-Pace,P300,R-Dynamic S,2025,86610,Vintage Tan,Kaikoura Stone,"['WS004', 'IL009', 'IT012', 'CV004', 'DA006', 'CV006', 'CL016', 'EP008', 'RF004', 'IL003', 'CP002', 'CP003']"
Defender,D240 90,S,2023.5,42903,Caraway,Indus Silver,"['IT001', 'WS001', 'SF008', 'CV001', 'SF004', 'SF022', 'LT005', 'SF010']"
Discovery Sport,P290,HSE Luxury,2021.5,64682,Ebony,Gondwana Stone,"['DA003', 'CL001', 'LT006', 'IL005', 'RF003', 'IL001', 'LT003', 'CV010', 'CV009', 'IT003', 'IL002', 'WS009', 'SF012']"
Discovery Sport,P290,S,2024,36036,Flame Red,Cosmos Black,"['CV011', 'DA001', 'IT009', 'SF002', 'DA005', 'CV002']"
Range Rover Velar,D300,Autobiography,2023.5,110413,Vintage Tan,Narvik Black,"['WS004', 'CV008', 'IT007', 'CP004', 'CL009', 'IT022', 'CL006', 'WS012', 'IT020', 'CV004', 'CP008', 'IT005']"
Discovery Sport,D200,HSE,2022.5,61077,Light Oyster,Seoul Pearl Silver,"['WS009', 'WS008', 'IT004', 'IT005', 'DA006', 'SF011', 'CV007', 'SF018', 'EP003', 'LT001', 'IL002', 'IL001', 'SF003']"
Range Rover Sport,P440,Dynamic S,2021,92590,Glacier White,Silicon Silver,"['CV003', 'IL005', 'CP006', 'CS013', 'CP008', 'WS010', 'EP002', 'SF020', 'CS006', 'IL006', 'WS015', 'CL019']"
Range Rover Evoque,D180,S,2024,36134,Eclipse,Bright White,"['SF006', 'SF001', 'LT005', 'WS001', 'SF002', 'IT001', 'CV002', 'SF007']"
Defender,P300 110,X-Dynamic,2023,80845,Copper,Carpathian Grey,"['AS007', 'CL016', 'IT007', 'RF002', 'DA012', 'DA019', 'CS010', 'WS005', 'DA016', 'LT003', 'SF001', 'DA004']"
Discovery Sport,P250,HSE Luxury,2024,75176,Cloud,Bright White,"['WS009', 'IL002', 'DA006', 'CV007', 'DA002', 'IT008', 'IL005', 'SF007', 'RF003', 'SF008', 'WS003', 'CL002', 'CL003', 'DA005']"
Defender,P500 110,SE,2023,70983,Cirrus,Varesine Blue,"['SF010', 'WS011', 'DA001', 'IT004', 'SF002', 'DA005', 'CL010', 'SF008']"
Discovery Sport,P200,SE,2024.5,42620,Flame Red,Balmoral Blue,"['CV002', 'CV007', 'SF007', 'SF020', 'SF014', 'DA005', 'SF011', 'SF022', 'CV001', 'EP001']"
Range Rover Sport,P510,Dynamic S,2023.5,121714,Reims Blue,Pangea Green,"['EP009', 'WS015', 'WS005', 'LT016', 'AS009', 'CV011', 'CL003', 'DA020', 'IL012', 'DA018', 'IT005', 'CV003', 'SF019', 'CV006', 'LT003', 'EP006', 'RF005', 'LT007']"
Discovery,D300,SE,2023.5,63875,Siena Tan,Firenze Red,"['SF005', 'LT001', 'CV011', 'SF001', 'SF010', 'SF006', 'CV001', 'SF003']"
Range Rover,P460e PHEV SWB,Autobiography,2024.5,228000,Light Oyster,Varesine Blue,"['SF008', 'WS003', 'CP002', 'RF002', 'WS009', 'CL002', 'IL006', 'CS002', 'CV009', 'AS004', 'EP010', 'AS009', 'SS004', 'LT003', 'IT021', 'CL017']"
Defender,D300 110,X-Dynamic,2022.5,89339,Nimbus,Aruba,"['CP006', 'CL011', 'WS017', 'DA018', 'CL010', 'LT003', 'CS013', 'WS008', 'CV008', 'LT005', 'IL002', 'CV020', 'CP010', 'IL001', 'IT006']"
Defender,P400 110,Octa,2021,145467,Light Oyster,Sedona Red,"['CP010', 'IL011', 'CS003', 'IT004', 'IT019', 'IT023', 'EP002', 'CP009', 'IT009', 'RF001', 'EP013', 'CL001', 'CL020', 'WS007', 'WS003']"
Range Rover Velar,P400,Autobiography,2020,93550,Siena Tan,Narvik Black,"['CL004', 'CP003', 'LT007', 'CL012', 'LT014', 'SF006', 'AS006', 'CV013', 'CP005', 'CP004', 'SS010', 'IT008', 'IT005']"
Range Rover Evoque,D200,Dynamic SE,2024,42762,Light Oyster,Gondwana Stone,"['WS001', 'IT010', 'SF009', 'CV011', 'CL008', 'LT006', 'LT001', 'SF006', 'SF011', 'EP002']"
Range Rover,D300 LWB,SV,2023.5,245410,Cloud,Byron Blue,"['LT010', 'EP007', 'SF016', 'IT009', 'DA004', 'SF019', 'CL009', 'DA007', 'IT006', 'AS006', 'CP005', 'WS018', 'LT018', 'CL015', 'DA003']"
Range Rover,P550e PHEV LWB,SE,2024,157156,Caraway,Eiger Grey,"['SF001', 'SF022', 'IT001', 'CV001', 'SF004', 'CL009', 'SF009', 'CV004']"
Range Rover,D300 SWB,Autobiography,2021.5,156765,Brogue,Corris Grey,"['CL014', 'CL020', 'LT010', 'CS003', 'LT002', 'WS003', 'IL008', 'AS006', 'LT014', 'WS020', 'RF005', 'IL001', 'CL013', 'CP007']"
Range Rover,P530 SWB,Autobiography,2021,177770,Cloud,Sunset Gold Satin,"['WS004', 'CL004', 'DA016', 'LT002', 'CP004', 'IT012', 'CV010', 'WS018', 'CP005', 'LT014', 'WS012', 'WS013']"
Discovery Sport,D180,S,2020,25100,Moonbeam,Aruba,"['IT009', 'LT001', 'SF003', 'SF007', 'WS001', 'SF008']"
Defender,P635 Octa,HSE,2022.5,150084,Brogue,Lantau Bronze,"['IT005', 'IT002', 'RF003', 'LT003', 'DA003', 'WS003', 'SF005', 'CL009', 'CV009', 'EP003', 'IL001', 'CL012']"
Range Rover Sport,D350,Dynamic SE,2023.5,102998,Acorn,Champagne Gold,"['CL008', 'CV001', 'IT010', 'WS001', 'DA001', 'SF001', 'SF010', 'SF008', 'SF005', 'SF004', 'SF018', 'CV011']"
Range Rover Evoque,D180,Dynamic SE,2022.5,37176,Caraway,Byron Blue,"['CV002', 'SF006', 'SF014', 'LT001', 'SF008', 'SF005', 'DA005', 'SF007', 'CL010', 'SF020', 'SF002']"
F-Pace,P400,R-Dynamic HSE,2023,81460,Light Oyster,Gondwana Stone,"['DA006', 'DA003', 'IT009', 'LT002', 'CV006', 'LT007', 'CL003', 'EP001', 'SF016', 'IL002']"
Range Rover Evoque,P300,Dynamic SE,2024.5,48980,Robusta,Seoul Pearl Silver,"['IT001', 'DA001', 'WS002', 'SF010', 'EP001', 'CV001', 'EP002', 'CV002', 'CL010', 'LT001', 'SF006', 'CV011']"
Defender,D300 90,Octa,2022.5,160714,Brogue,Causeway Grey,"['IT005', 'CS013', 'AS004', 'DA009', 'IT012', 'IL002', 'LT017', 'DA002', 'EP003', 'LT002', 'WS013', 'IT016', 'CP002', 'DA008', 'DA017']"
Defender,D300 130,SE,2023,68242,Siena Tan,Rossello Red,"['CV002', 'WS010', 'SF018', 'IT010', 'CL001', 'SF022', 'SF002', 'SF003']"
Range Rover Sport,P510,Dynamic S,2024.5,125987,Glacier White,Narvik Black,"['IT006', 'DA017', 'CL011', 'LT016', 'CL018', 'CV001', 'EP012', 'EP013', 'CP002', 'DA011', 'WS018', 'IT016', 'EP008', 'WS013', 'IL001']"
Discovery,D250,HSE Luxury,2022.5,87281,Espresso,Narvik Black,"['CL011', 'DA006', 'CV007', 'SF001', 'WS001', 'IL001', 'SF014', 'IT005', 'EP002', 'LT001', 'SF015', 'SF002', 'CL010']"
Range Rover Evoque,P250,Dynamic HSE,2023.5,62438,Dove,Santorini Black,"['LT006', 'RF003', 'SF018', 'DA003', 'WS003', 'IT003', 'DA002', 'EP002', 'SF012', 'CV005', 'IT005']"
F-Pace,D200,R-Dynamic SE,2024.5,60458,Espresso,Ostuni Pearl White,"['SF005', 'SF004', 'SF022', 'SF003', 'IT001', 'EP001', 'IT005', 'SF006', 'DA001', 'IT009']"
F-Pace,D200,R-Dynamic HSE,2025,84614,Navy,Sunset Gold Satin,"['LT007', 'WS009', 'IL005', 'IL002', 'CL002', 'CV005', 'EP003', 'DA007', 'RF002']"
Range Rover,P460e PHEV LWB,Autobiography,2021,199647,Acorn,Sunset Gold Satin,"['SS006', 'AS006', 'DA002', 'EP013', 'EP015', 'RF002', 'CV018', 'CL012', 'CP009', 'LT003', 'CL017', 'WS004']"
Defender,D240 90,SE,2025,58112,Nimbus,Pangea Green,"['CV001', 'EP001', 'CL010', 'IT001', 'WS001', 'SF022', 'WS011', 'SF005']"
Defender,P300 110,Octa,2023,172757,Navy,Seoul Pearl Silver,"['CP008', 'WS002', 'CP004', 'WS018', 'IT011', 'SS008', 'CS006', 'IL002', 'AS002', 'EP008', 'CP006', 'CP005', 'IT002', 'AS010', 'EP013', 'IT016']"
F-Pace,D240,R-Dynamic HSE,2022,79248,Moonbeam,Ostuni Pearl White,"['DA006', 'DA002', 'LT007', 'IL002', 'LT002', 'IT002', 'CL011', 'WS003', 'SF020', 'SF011', 'CL001', 'IT005', 'SF004', 'IT004']"
Defender,P300 90,X-Dynamic,2023,80705,Perlino,Fuji White,"['CP004', 'WS002', 'WS016', 'IT019', 'CV006', 'LT015', 'CV014', 'CV013', 'CS012', 'EP003', 'SS006', 'WS019', 'CL004', 'WS013', 'IL009', 'AS004']"
Range Rover Evoque,D200,Dynamic SE,2025,47761,Titan,Spectral British Racing Green,"['SF008', 'SF005', 'DA001', 'CV002', 'LT001', 'DA005', 'IT010', 'SF009', 'IT005', 'SF020', 'EP001']"
Range Rover Velar,D300,S,2023,56382,Moonbeam,Sunset Gold Satin,"['CV002', 'SF004', 'SF005', 'SF006', 'EP001', 'SF010']"
Discovery Sport,D180,SE,2022.5,39076,Ivory,Cosmos Black,"['SF007', 'DA001', 'SF018', 'WS001', 'SF010', 'EP002', 'SF002', 'SF020', 'SF011', 'CV001', 'CL002', 'CV010']"
Range Rover Evoque,D180,Autobiography,2023.5,72992,Navy,Firenze Red,"['WS011', 'IT009', 'IL012', 'AS009', 'IT005', 'CS010', 'EP005', 'EP013', 'AS008', 'CL007', 'LT016', 'IT014', 'LT002', 'SF008', 'IT020', 'IT003', 'WS016']"
Discovery,P360,HSE Luxury,2022,90474,Flame Red,Byron Blue,"['CL010', 'DA006', 'IL001', 'LT007', 'CV006', 'RF003', 'DA002', 'CL009', 'CV005', 'CV001']"
Discovery,D300,SE,2020.5,53327,Espresso,Bright White,"['CL010', 'CL009', 'SF011', 'IT009', 'IT010', 'CV002', 'CL001', 'SF018', 'DA001']"
Discovery,D250,HSE Luxury,2021,80945,Caraway,Portofino Blue,"['IL001', 'IT011', 'WS003', 'CV002', 'IL002', 'CV007', 'CL010', 'LT003', 'DA001']"
Range Rover Velar,D240,Autobiography,2021,95718,Caraway,Portofino Blue,"['SS008', 'SS011', 'IL005', 'IL001', 'LT007', 'IT004', 'WS003', 'IT002', 'CS012', 'WS015', 'WS018', 'CL001', 'IL011', 'IL002', 'CP009', 'SF014']"
Range Rover Evoque,P250,Dynamic SE,2021,38397,Nimbus,Cosmos Black,"['SF011', 'CV002', 'IT004', 'DA001', 'CL001', 'SF020', 'SF001', 'SF005', 'SF006', 'SF022', 'CV004', 'EP001']"
Range Rover Velar,D300,Autobiography,2021,100148,Vintage Tan,Cosmos Black,"['IL011', 'CP005', 'WS007', 'LT004', 'LT011', 'AS008', 'IT019', 'IL010', 'SF018', 'CV006', 'DA006', 'WS014', 'EP003']"
Range Rover Sport,P550e PHEV,Dynamic SE,2024,123255,Cloud,Sedona Red,"['SF006', 'SF020', 'IT010', 'SF005', 'SF007', 'CL001', 'EP001', 'SF001', 'SF003', 'SF010', 'LT006', 'SF009']"
Defender,D240 110,Octa,2021.5,149491,Cloud,Gondwana Stone,"['CV005', 'EP011', 'EP010', 'IT004', 'EP002', 'CL016', 'WS017', 'WS009', 'IL002', 'WS014', 'WS013', 'AS007', 'CV006', 'SS006']"
Range Rover,P550e PHEV LWB,SE,2022.5,141462,Nimbus,Sedona Red,"['CL010', 'SF014', 'SF018', 'SF008', 'WS001', 'SF010', 'CL008', 'SF007', 'SF004', 'CV004', 'SF009', 'SF005']"
Range Rover Evoque,P200,S,2024.5,37340,Ebony,Champagne Gold,"['SF022', 'SF005', 'LT001', 'LT005', 'SF004', 'EP001']"
Discovery Sport,P250,HSE Luxury,2023,70835,Brogue,Silicon Silver,"['IL005', 'WS009', 'SF001', 'CL010', 'DA006', 'DA003', 'LT002', 'CL009', 'DA007', 'CV005', 'CL012', 'WS001', 'IT002', 'RF002']"
Range Rover,P530 SWB,HSE,2024,164680,Cloud,Lantau Bronze,"['CV002', 'WS008', 'EP001', 'DA002', 'RF003', 'DA007', 'SF006', 'IT004', 'LT007', 'EP002']"
Range Rover Sport,P440,Dynamic HSE,2021.5,115700,Titan,Varesine Blue,"['SF015', 'RF002', 'SF001', 'IL001', 'CL003', 'EP003', 'SF022', 'CV004', 'SF011', 'DA003', 'SF014', 'CV001', 'WS002']"
Range Rover Sport,P400,Dynamic HSE,2021.5,117275,Nimbus,Causeway Grey,"['CL008', 'WS003', 'IT003', 'IL001', 'CV001', 'IT005', 'IL005', 'CV007', 'DA005', 'CL011', 'DA007', 'SF016', 'LT003']"
Range Rover,D300 LWB,SE,2020,97703,Espresso,Byron Blue,"['SF004', 'SF001', 'SF010', 'IT001', 'DA001', 'WS002', 'SF005', 'SF022', 'EP001', 'SF020', 'WS008', 'CL008']"
Range Rover,P615 SV,Autobiography,2021.5,281357,Cloud,Gondwana Stone,"['WS007', 'WS003', 'LT002', 'CV005', 'CP006', 'AS007', 'WS014', 'SS014', 'WS013', 'DA016', 'CS010', 'IL010', 'LT019', 'DA008', 'RF004', 'EP015', 'CL002', 'LT007']"
Defender,P500 110,X-Dynamic,2022,93411,Nimbus,Pangea Green,"['IL011', 'CP002', 'LT005', 'DA012', 'IL005', 'CP006', 'SS012', 'IT007', 'WS014', 'WS004', 'DA006', 'CL011', 'DA016', 'IT005', 'LT004', 'SF022']"
